,accuracy,loss,val_accuracy,val_loss
0,0.5031175017356873,0.1250569224357605,0.5,0.125335231423378
1,0.503424346446991,0.1250382512807846,0.5,0.1250176876783371
2,0.4975999891757965,0.12504343688488007,0.5,0.12500907480716705
3,0.5006399750709534,0.12503646314144135,0.5,0.1250002086162567
4,0.49919500946998596,0.12502902746200562,0.5,0.1250850409269333
5,0.5016800165176392,0.12502732872962952,0.5,0.1250280737876892
6,0.4983937442302704,0.1250234693288803,0.5,0.12501035630702972
7,0.49959999322891235,0.12501926720142365,0.5,0.12500007450580597
8,0.49935999512672424,0.12502123415470123,0.5,0.12501226365566254
9,0.5018399953842163,0.12501119077205658,0.5,0.12500156462192535
10,0.5003200173377991,0.12501530349254608,0.5,0.12500013411045074
11,0.5019999742507935,0.12501196563243866,0.5,0.12500259280204773
12,0.495116263628006,0.12501804530620575,0.5,0.12500080466270447
13,0.49823999404907227,0.1250099390745163,0.5,0.12500633299350739
14,0.4941618740558624,0.12501363456249237,0.5,0.12500004470348358
15,0.49744001030921936,0.12501126527786255,0.5,0.12500004470348358
16,0.4935181140899658,0.1250104010105133,0.5,0.12499994784593582
17,0.495279997587204,0.12500832974910736,0.5,0.12500041723251343
18,0.502240002155304,0.12500499188899994,0.5,0.1250000149011612
19,0.4965600073337555,0.125009685754776,0.5,0.1250007301568985
20,0.5016800165176392,0.12500707805156708,0.5,0.12500084936618805
21,0.4959999918937683,0.12501004338264465,0.5,0.12500081956386566
22,0.4940800070762634,0.12500962615013123,0.5,0.1250002086162567
23,0.4995200037956238,0.12500648200511932,0.5,0.12500323355197906
24,0.4927999973297119,0.12501095235347748,0.5,0.12500083446502686
